SKU,Nombre,Descripción,Costo producción lote,Unnamed: 4,# Ingredientes,Usado por,Duración esperada (hrs),Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores
100.0,"1,2-diestearol-sn-glicero-3-fosfocolina",Excipiente,0.0,,0.0,2.0,36.0,5.0,40.0,"6,14,16,17,19,24,1,2,21,22",10.0
104.0,Ácido cítrico monohidrato,Excipiente,0.0,,0.0,1.0,4.0,6.0,20.0,"1,4,7,10,13,16,19,22,25,2",10.0
107.0,ALC-0159,Excipiente,0.0,,0.0,1.0,16.0,7.0,40.0,"1,3,10,11,20,21,4,7",8.0
108.0,ALC-0315,Excipiente,0.0,,0.0,1.0,8.0,18.0,25.0,"3,6,8,13,18,23,9,10",8.0
109.0,Citrato trisódico dihidrato,Excipiente,0.0,,0.0,1.0,14.0,2.0,20.0,"5,8,11,14,17,20,23,3,6,9",10.0
111.0,Cloruro de magnesio hexahidrato,Excipiente,0.0,,0.0,2.0,8.0,18.0,25.0,"12,15,18,21,24,3,7,11,19,23",10.0
112.0,Cloruro de potasio,Excipiente,0.0,,0.0,1.0,4.0,5.0,10.0,"5,6,7,15,16,25,13,14,17,19",10.0
113.0,Cloruro de sodio,Excipiente,0.0,,0.0,5.0,32.0,12.0,45.0,"1,3,7,10,11,18,15,16,21,22,20,23,25,2,8",15.0
114.0,Colesterol,Excipiente,0.0,,0.0,2.0,8.0,14.0,20.0,"4,5,15,21,22,23,25,24,1",9.0
116.0,EDTA disódico dihidrato,Excipiente,0.0,,0.0,2.0,22.0,10.0,20.0,"15,2,6,10,14,18,22,1,5,9",10.0
117.0,Etanol,Excipiente,0.0,,0.0,3.0,16.0,20.0,20.0,"13,17,21,25,4,8,12,16,20,24,1,5,10",13.0
118.0,Fosfato monobásico de potasio,Excipiente,0.0,,0.0,1.0,12.0,4.0,30.0,"4,7,10,14,17,24,2,3,5,6",10.0
119.0,Fosfato sódico dibásico dihidrato,Excipiente,0.0,,0.0,1.0,6.0,14.0,45.0,"2,9,12,13,17,18,19,22,4,7",10.0
128.0,Polisorbato 80,Excipiente,0.0,,0.0,3.0,18.0,3.0,45.0,"15,20,25,2,7,12,17,22,3,8,13,18,23",13.0
129.0,Sacarosa,Excipiente,0.0,,0.0,4.0,36.0,10.0,15.0,"2,8,9,11,12,13,14,20,15,17,21,24",12.0
115.0,Dihidrogenofosfato de sodio,Excipiente,0.0,,0.0,1.0,18.0,20.0,50.0,"5,7,10,11,12,19,20,21,23,25",10.0
120.0,Hidrogenofosfato de disodio,Excipiente,0.0,,0.0,1.0,4.0,5.0,20.0,"1,2,4,16,18,23,24,25,8,9",10.0
121.0,Hidróxido de aluminio,Excipiente,0.0,,0.0,2.0,5.0,3.0,30.0,"3,6,8,9,13,14,15,17,22,10,11",11.0
122.0,Hidróxido de sodio,Excipiente,0.0,,0.0,1.0,18.0,10.0,80.0,"4,9,14,19,24,6,11,16,21,1",10.0
124.0,L-Histidine,Excipiente,0.0,,0.0,1.0,8.0,5.0,20.0,"3,4,5,6,7,9,10,11,12,13,14",11.0
125.0,L-Histidine hydrochloride monohydrate,Excipiente,0.0,,0.0,1.0,10.0,4.0,40.0,"15,16,17,18,19,20,22,23,24,25",10.0
126.0,Lípido SM-102,Excipiente,0.0,,0.0,1.0,9.0,10.0,45.0,"2,3,8,19,23,24,25,12,13",9.0
127.0,Polietilenglicol,Excipiente,0.0,,0.0,1.0,27.0,5.0,50.0,"5,9,15,18,20,21,23,14,16",9.0
132.0,Trometamol,Excipiente,0.0,,0.0,1.0,24.0,14.0,15.0,"9,12,13,15,22,25,18,19",8.0
110.0,Clorhidrato de trometamol,Excipiente,0.0,,0.0,1.0,13.0,6.0,25.0,"2,6,14,17,19,24,22,11,12,18,20",11.0
103.0,Ácido acético,Excipiente,0.0,,0.0,1.0,30.0,9.0,45.0,"1,4,7,10,16,20,21,5,8",9.0
102.0,Acetato de sodio trihidrato,Excipiente,0.0,,0.0,1.0,6.0,8.0,30.0,"1,4,5,8,11,16,12,3,6",9.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1000.0,mRNA,Ingrediente activo RNA mensajero,0.0,,0.0,2.0,1.0,8.0,50.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",26.0
1001.0,Antígeno SARS-CoV-2 inactivado,Antígeno virus inactivado,0.0,,0.0,1.0,1.0,5.0,40.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",26.0
1002.0,Partículas virales de ChAdOx1-S,Antígeno virus inactivado,0.0,,0.0,1.0,2.0,3.0,20.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",26.0
1003.0,Adenovirus tipo 26 (Ad26),,0.0,,0.0,2.0,1.0,5.0,30.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",26.0
,,,,,,,,,,,
,,,,,,,,,,,
